Rank,Team Number,Quality Awards
1,67,16
1,254,16
3,148,15
4,27,13
4,2056,13
6,359,12
6,1538,12
8,1024,11
9,231,10
9,1153,10
9,1218,10
9,1403,10
9,3937,10
14,16,9
14,207,9
14,494,9
14,610,9
14,1619,9
14,2122,9
14,2200,9
21,33,8
21,48,8
21,103,8
21,176,8
21,2337,8
21,2811,8
27,68,7
27,281,7
27,364,7
27,696,7
27,1065,7
27,1114,7
27,1323,7
27,1678,7
27,1768,7
27,1983,7
27,3538,7
27,5409,7
27,5895,7
40,20,6
40,60,6
40,70,6
40,118,6
40,126,6
40,157,6
40,230,6
40,245,6
40,456,6
40,525,6
40,834,6
40,973,6
40,1319,6
40,1610,6
40,1756,6
40,1942,6
40,2013,6
40,2046,6
40,2767,6
40,2910,6
40,2990,6
40,3196,6
40,3250,6
40,3452,6
40,4253,6
40,4414,6
40,6424,6
67,11,5
67,75,5
67,78,5
67,111,5
67,190,5
67,191,5
67,195,5
67,233,5
67,303,5
67,314,5
67,316,5
67,365,5
67,548,5
67,623,5
67,846,5
67,935,5
67,1025,5
67,1305,5
67,1501,5
67,1640,5
67,1690,5
67,1717,5
67,1730,5
67,1986,5
67,1987,5
67,2054,5
67,2791,5
67,2826,5
67,3467,5
67,3476,5
67,3494,5
67,3658,5
67,3847,5
67,3986,5
67,4003,5
67,4607,5
67,5199,5
67,8177,5
105,34,4
105,58,4
105,61,4
105,66,4
105,141,4
105,179,4
105,222,4
105,271,4
105,291,4
105,293,4
105,469,4
105,587,4
105,708,4
105,744,4
105,836,4
105,869,4
105,968,4
105,1023,4
105,1073,4
105,1318,4
105,1325,4
105,1414,4
105,1477,4
105,1540,4
105,1684,4
105,1701,4
105,1727,4
105,1746,4
105,1796,4
105,2052,4
105,2363,4
105,2370,4
105,2412,4
105,2611,4
105,2630,4
105,2928,4
105,2996,4
105,3015,4
105,3284,4
105,3309,4
105,3310,4
105,3322,4
105,3357,4
105,3360,4
105,3419,4
105,3534,4
105,3539,4
105,3641,4
105,3663,4
105,3737,4
105,3940,4
105,3970,4
105,4362,4
105,4391,4
105,4451,4
105,4488,4
105,4576,4
105,4587,4
105,4775,4
105,4911,4
105,5468,4
105,5511,4
105,6329,4
105,6502,4
105,7845,4
170,45,3
170,51,3
170,56,3
170,59,3
170,64,3
170,71,3
170,74,3
170,79,3
170,85,3
170,100,3
170,107,3
170,121,3
170,131,3
170,133,3
170,135,3
170,180,3
170,217,3
170,226,3
170,229,3
170,236,3
170,237,3
170,238,3
170,246,3
170,272,3
170,294,3
170,308,3
170,330,3
170,340,3
170,343,3
170,346,3
170,360,3
170,384,3
170,401,3
170,422,3
170,503,3
170,533,3
170,614,3
170,649,3
170,687,3
170,701,3
170,815,3
170,829,3
170,900,3
170,910,3
170,930,3
170,999,3
170,1058,3
170,1160,3
170,1197,3
170,1261,3
170,1296,3
170,1533,3
170,1574,3
170,1577,3
170,1596,3
170,1622,3
170,1860,3
170,2016,3
170,2102,3
170,2202,3
170,2240,3
170,2377,3
170,2485,3
170,2582,3
170,2590,3
170,2640,3
170,2771,3
170,2832,3
170,2851,3
170,2994,3
170,3061,3
170,3218,3
170,3229,3
170,3234,3
170,3245,3
170,3481,3
170,3512,3
170,3547,3
170,3604,3
170,3647,3
170,3668,3
170,3674,3
170,3679,3
170,3688,3
170,3707,3
170,3990,3
170,4099,3
170,4130,3
170,4183,3
170,4188,3
170,4201,3
170,4265,3
170,4272,3
170,4334,3
170,4392,3
170,4405,3
170,4481,3
170,4522,3
170,4539,3
170,4613,3
170,4655,3
170,4728,3
170,4910,3
170,4917,3
170,4970,3
170,4980,3
170,5114,3
170,5172,3
170,5216,3
170,5312,3
170,5462,3
170,5576,3
170,5675,3
170,5990,3
170,6340,3
170,6829,3
170,6995,3
170,7421,3
170,7627,3
170,7769,3
170,8013,3
170,8083,3
292,47,2
292,63,2
292,69,2
292,86,2
292,102,2
292,115,2
292,122,2
292,144,2
292,159,2
292,166,2
292,171,2
292,172,2
292,175,2
292,177,2
292,192,2
292,203,2
292,224,2
292,225,2
292,234,2
292,250,2
292,280,2
292,287,2
292,302,2
292,319,2
292,322,2
292,333,2
292,339,2
292,348,2
292,353,2
292,354,2
292,379,2
292,399,2
292,449,2
292,581,2
292,599,2
292,604,2
292,624,2
292,670,2
292,704,2
292,706,2
292,714,2
292,747,2
292,753,2
292,818,2
292,839,2
292,852,2
292,854,2
292,862,2
292,868,2
292,871,2
292,894,2
292,907,2
292,931,2
292,948,2
292,955,2
292,957,2
292,967,2
292,971,2
292,980,2
292,987,2
292,1011,2
292,1080,2
292,1086,2
292,1102,2
292,1108,2
292,1124,2
292,1126,2
292,1156,2
292,1188,2
292,1241,2
292,1251,2
292,1262,2
292,1288,2
292,1360,2
292,1388,2
292,1391,2
292,1425,2
292,1481,2
292,1506,2
292,1507,2
292,1595,2
292,1629,2
292,1648,2
292,1671,2
292,1675,2
292,1676,2
292,1683,2
292,1699,2
292,1711,2
292,1714,2
292,1726,2
292,1729,2
292,1741,2
292,1764,2
292,1772,2
292,1792,2
292,1806,2
292,1807,2
292,1810,2
292,1908,2
292,1912,2
292,1923,2
292,1939,2
292,2022,2
292,2062,2
292,2075,2
292,2135,2
292,2137,2
292,2147,2
292,2177,2
292,2338,2
292,2341,2
292,2403,2
292,2478,2
292,2506,2
292,2539,2
292,2550,2
292,2557,2
292,2586,2
292,2587,2
292,2607,2
292,2619,2
292,2654,2
292,2702,2
292,2815,2
292,2930,2
292,2959,2
292,2976,2
292,3005,2
292,3075,2
292,3100,2
292,3117,2
292,3128,2
292,3140,2
292,3142,2
292,3160,2
292,3176,2
292,3238,2
292,3242,2
292,3255,2
292,3266,2
292,3316,2
292,3374,2
292,3459,2
292,3461,2
292,3489,2
292,3536,2
292,3546,2
292,3572,2
292,3574,2
292,3598,2
292,3602,2
292,3624,2
292,3637,2
292,3656,2
292,3683,2
292,3739,2
292,3767,2
292,3787,2
292,3931,2
292,3950,2
292,3959,2
292,4009,2
292,4028,2
292,4039,2
292,4063,2
292,4089,2
292,4256,2
292,4270,2
292,4296,2
292,4343,2
292,4364,2
292,4384,2
292,4415,2
292,4467,2
292,4469,2
292,4472,2
292,4499,2
292,4564,2
292,4635,2
292,4638,2
292,4738,2
292,4818,2
292,4909,2
292,4941,2
292,4946,2
292,5069,2
292,5126,2
292,5150,2
292,5188,2
292,5190,2
292,5291,2
292,5401,2
292,5410,2
292,5419,2
292,5484,2
292,5534,2
292,5572,2
292,5614,2
292,5654,2
292,5660,2
292,5674,2
292,5687,2
292,5892,2
292,5907,2
292,5951,2
292,5980,2
292,5985,2
292,6081,2
292,6098,2
292,6121,2
292,6417,2
292,6459,2
292,6510,2
292,6705,2
292,6706,2
292,6978,2
292,6986,2
292,7034,2
292,7121,2
292,7211,2
292,7426,2
292,7449,2
292,7470,2
292,7558,2
292,7632,2
292,7667,2
292,7790,2
292,8033,2
292,8044,2
292,8114,2
292,8280,2
292,8517,2
292,8592,2
292,8724,2
292,8866,2
292,9080,2
292,9098,2
292,9165,2
292,9208,2
292,9408,2
292,10589,2
534,1,1
534,4,1
534,5,1
534,8,1
534,14,1
534,19,1
534,25,1
534,38,1
534,40,1
534,57,1
534,87,1
534,88,1
534,90,1
534,93,1
534,108,1
534,120,1
534,125,1
534,128,1
534,138,1
534,146,1
534,165,1
534,173,1
534,178,1
534,181,1
534,188,1
534,193,1
534,201,1
534,211,1
534,219,1
534,223,1
534,228,1
534,247,1
534,263,1
534,267,1
534,288,1
534,292,1
534,312,1
534,323,1
534,325,1
534,329,1
534,337,1
534,342,1
534,357,1
534,358,1
534,368,1
534,375,1
534,378,1
534,383,1
534,417,1
534,425,1
534,433,1
534,435,1
534,446,1
534,447,1
534,461,1
534,473,1
534,476,1
534,484,1
534,496,1
534,507,1
534,509,1
534,522,1
534,527,1
534,528,1
534,538,1
534,540,1
534,549,1
534,555,1
534,558,1
534,562,1
534,569,1
534,571,1
534,590,1
534,597,1
534,611,1
534,612,1
534,617,1
534,619,1
534,620,1
534,639,1
534,692,1
534,695,1
534,710,1
534,716,1
534,746,1
534,751,1
534,772,1
534,801,1
534,816,1
534,830,1
534,832,1
534,835,1
534,840,1
534,842,1
534,845,1
534,865,1
534,870,1
534,876,1
534,888,1
534,903,1
534,972,1
534,975,1
534,977,1
534,1014,1
534,1038,1
534,1088,1
534,1100,1
534,1148,1
534,1157,1
534,1158,1
534,1180,1
534,1182,1
534,1216,1
534,1225,1
534,1229,1
534,1254,1
534,1279,1
534,1286,1
534,1289,1
534,1294,1
534,1317,1
534,1320,1
534,1334,1
534,1339,1
534,1351,1
534,1353,1
534,1369,1
534,1382,1
534,1389,1
534,1421,1
534,1448,1
534,1466,1
534,1468,1
534,1474,1
534,1503,1
534,1511,1
534,1515,1
534,1517,1
534,1561,1
534,1569,1
534,1572,1
534,1582,1
534,1592,1
534,1625,1
534,1636,1
534,1647,1
534,1696,1
534,1700,1
534,1706,1
534,1708,1
534,1710,1
534,1721,1
534,1723,1
534,1731,1
